"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Feb 20 13:59:42 EST 2024","Tue Feb 20 14:02:37 EST 2024","175101","","Array Page Navigation","","Exploring practice Questions page","","Exploring practice Questions page",""
"passed","Mon Feb 19 12:44:21 EST 2024","Mon Feb 19 12:45:17 EST 2024","55500","","Array Page Navigation","","Exploring practice Questions page","","Exploring practice Questions page",""
